timestamp	tag	duration	package_0	nvidia_gpu_0
1682503425.19949	AlexNet	13.1206259727478	390577858	742201
1682503438.32078	AlexNet	13.8046052455902	451791446	736555
1682503452.12611	AlexNet	17.8341047763824	607816132	961065
1682503469.96094	AlexNet	22.0132074356079	767175893	1216387
1682503491.97482	AlexNet	12.2776846885681	419835900	769020
1682503504.25317	AlexNet	17.7876756191254	640225046	1060365
1682503522.04149	AlexNet	24.1837458610535	910946825	1674586
1682503546.22586	AlexNet	30.2206082344055	1126690903	1861255
1682503576.44718	AlexNet	15.0305690765381	648346119	1135614
1682503591.47843	AlexNet	22.3210718631744	877553783	1710642
1682503613.80018	AlexNet	30.9498240947723	1276934658	2412182
1682503644.75066	AlexNet	38.7407786846161	1543936660	3396707
1682503683.49219	AlexNet	16.0850517749786	629655920	1421897
1682503699.58129	AlexNet	27.0438694953918	1175217084	2558503
1682503726.62582	AlexNet	37.2362868785858	1548277592	3638881
1682503763.86279	AlexNet	46.6027207374573	1869230200	4747100
1682503810.46618	AlexNet	18.1709501743317	700228554	1808428
1682503828.64094	AlexNet	30.5348591804504	1264144774	3370669
1682503859.17646	AlexNet	42.5935854911804	1798031041	4913351
1682503901.77071	AlexNet	54.5726406574249	2257755267	6455616
