timestamp;tag;duration;package_0;dram_0;core_0;nvidia_gpu_0
1683883734.6998956;Res;38.7333288192749;1226963839.0;31202069.0;1189905645.0;2874605
1683883773.4339094;Res;44.70053029060364;1479180113.0;34905184.0;1436559127.0;3307292
1683883818.1402192;Res;55.974562644958496;1874579002.0;43365123.0;1821150917.0;4292297
1683883874.1155472;Res;67.76963400840759;2281971026.0;52683764.0;2217278259.0;5307271
1683883941.8858867;Res;58.017743825912476;1940210731.0;45519842.0;1884677304.0;4329531
1683883999.9044292;Res;79.2601363658905;2688116044.0;60982937.0;2612463649.0;5901305
1683884079.1669195;Res;103.43457698822021;3654720075.0;85201747.0;3554323420.0;7776692
1683884182.6022265;Res;128.92065405845642;4785392290.0;117920169.0;4657602823.0;9794521
1683884311.5236232;Res;82.98773503303528;2919723177.0;69212958.0;2839389643.0;6184104
1683884394.5120773;Res;115.21913409233093;4019650964.0;91959908.0;3908966311.0;8440336
1683884509.7319896;Res;149.4648962020874;5167612564.0;118484072.0;5024185563.0;10996343
1683884659.1976922;Res;183.39075779914856;-255774221681.0;145420038.0;6193056778.0;13535784
1683884842.5892577;Res;105.32024478912354;3838494140.0;89935622.0;3735319417.0;7599783
1683884947.9139612;Res;149.71439266204834;5185278779.0;119436950.0;5040815953.0;10825757
1683885097.629101;Res;195.70569610595703;6824232530.0;155337615.0;6636102030.0;14184721
1683885293.3356636;Res;240.86062216758728;8412798105.0;190671387.0;-253961914004.0;17497711
1683885534.1970928;Res;127.35957431793213;4351706206.0;99029593.0;4229965673.0;9064518
1683885661.5574083;Res;184.394305229187;6208513769.0;142552430.0;6032472411.0;13120915
1683885845.9524233;Res;241.19440245628357;8260883942.0;187316476.0;8030089306.0;17328002
1683886087.1475148;Res;300.7744996547699;10502137360.0;242362356.0;10213143044.0;21695749
